order date,Product Name,Category,Units Sold,Price, Revenue ,Discount,Units Returned,Location,Platform,,,,,
1/6/2020,Whey Protein,Protein,143,31.98," ? 4,573.14 ",0.03,2,Canada,Walmart,,,,,
1/6/2020,Vitamin C,Vitamin,139,42.51," ? 5,908.89 ",0.04,0,UK,Amazon,,sub1,sub2,sub3,total
1/6/2020,Fish Oil,Omega,161,12.91," ? 2,078.51 ",0.25,0,Canada,Amazon,,28,71,99,198
1/6/2020,Multivitamin,Vitamin,140,16.07," ? 2,249.80 ",0.08,0,Canada,Walmart,,30,94,39,163
1/6/2020,Pre-Workout,Performance,157,35.47," ? 5,568.79 ",0.25,3,Canada,iHerb,,96,94,82,272
1/6/2020,BCAA,Amino Acid,154,41.19," ? 6,343.26 ",0.13,1,UK,Walmart,,85,20,72,177
1/6/2020,Creatine,Performance,134,32.49," ? 4,353.66 ",0.05,1,UK,Walmart,,36,51,22,109
1/6/2020,Zinc,Mineral,147,46.68," ? 6,861.96 ",0.19,0,Canada,Amazon,,40,43,42,125
1/6/2020,Collagen Peptides,Protein,147,10.96," ? 1,611.12 ",0.06,2,USA,Amazon,,82,21,2,105
1/6/2020,Magnesium,Mineral,134,20.76," ? 2,781.84 ",0,0,Canada,Amazon,,43,59,45,147
1/6/2020,Ashwagandha,Herbal,181,15.49," ? 2,803.69 ",0.14,1,USA,Amazon,,,,,
1/6/2020,Melatonin,Sleep Aid,164,34.41," ? 5,643.24 ",0.04,1,USA,Walmart,,,,,
1/6/2020,Biotin,Vitamin,159,28.79," ? 4,577.61 ",0.1,1,UK,iHerb,,,,,
1/6/2020,Green Tea Extract,Fat Burner,143,31.88," ? 4,558.84 ",0.06,3,UK,Walmart,,,,,
1/6/2020,Iron Supplement,Mineral,149,42.97," ? 6,402.53 ",0.22,2,Canada,iHerb,,,,,
1/6/2020,Electrolyte Powder,Hydration,154,35.92," ? 5,531.68 ",0.04,2,USA,Amazon,,,,,
1/13/2020,Whey Protein,Protein,150,12.08," ? 1,812.00 ",0.02,2,UK,Amazon,,,,,
1/13/2020,Vitamin C,Vitamin,128,10.61," ? 1,358.08 ",0.24,2,USA,Amazon,,,,,
1/13/2020,Fish Oil,Omega,145,27.49," ? 3,986.05 ",0.19,2,USA,Walmart,,,,,
1/13/2020,Multivitamin,Vitamin,137,14.92," ? 2,044.04 ",0.17,2,USA,Amazon,,,,,
1/13/2020,Pre-Workout,Performance,141,14.11," ? 1,989.51 ",0.24,1,Canada,iHerb,,,,,
1/13/2020,BCAA,Amino Acid,160,29.1," ? 4,656.00 ",0.05,0,Canada,Amazon,,,,,
1/13/2020,Creatine,Performance,154,42.2," ? 6,498.80 ",0.13,0,UK,Walmart,,,,,
1/13/2020,Zinc,Mineral,154,47.4," ? 7,299.60 ",0.2,2,USA,Amazon,,,,,
1/13/2020,Collagen Peptides,Protein,134,56.4," ? 7,557.60 ",0.06,1,Canada,iHerb,,,,,
1/13/2020,Magnesium,Mineral,148,40.65," ? 6,016.20 ",0.24,1,UK,Amazon,,,,,
1/13/2020,Ashwagandha,Herbal,133,54.35," ? 7,228.55 ",0.16,1,UK,Walmart,,,,,
